"REPOSITORY_VERSION","ID","CATEGORY","NAME","TAG"
"1858748199830560768_v1",d4946826-1765-4f51-ade6-f33928aa3ecf,未知类型,BOX 3 of SUBEQUIPMENT 9 of EQUIPMENT /=201348401/48095-=201348401/48093,
"1858748199830560768_v1","00ea513d-12f2-4da9-8aff-eb8894259e41",未知类型,CONE 2 of SUBEQUIPMENT 9 of EQUIPMENT /=201348401/48095-=201348401/48093,
"1858748199830560768_v1","1b1b2cf1-a8e3-408f-ac82-050718831bce",未知类型,CYLINDER 3 of SUBEQUIPMENT 9 of EQUIPMENT /=201348401/48095-=201348401/48093,
"1858748199830560768_v1","8a9c338a-dd20-4bb5-97d3-05df921f870d",未知类型,BOX 4 of SUBEQUIPMENT 9 of EQUIPMENT /=201348401/48095-=201348401/48093,
"1858748199830560768_v1","8dc3622d-2d41-4074-bf13-cffdc5421cc6",未知类型,BOX 5 of SUBEQUIPMENT 9 of EQUIPMENT /=201348401/48095-=201348401/48093,
"1858748199830560768_v1","00019228-470e-4dce-a2d3-32542f53056f",未知类型,CYLINDER 2 of SUBEQUIPMENT 2 of EQUIPMENT /=201348401/8754-=201348401/8756,
"1858748199830560768_v1","187f7d63-320f-4909-b4ce-c4cff659ca48",未知类型,BOX 1 of SUBEQUIPMENT 2 of EQUIPMENT /=201348401/8754-=201348401/8756,
"1858748199830560768_v1","58cbb8cd-30bf-4d1b-ba16-9aa8e9ec30a6",未知类型,BOX 2 of SUBEQUIPMENT 2 of EQUIPMENT /=201348401/8754-=201348401/8756,
"1858748199830560768_v1",c796ce2b-7cfa-4bf1-bff2-ac5cae629a41,未知类型,BOX 3 of SUBEQUIPMENT 2 of EQUIPMENT /=201348401/8754-=201348401/8756,
"1858748199830560768_v1","5acb66cc-bcff-497f-865e-0479ae7dc639",未知类型,CONE 2 of SUBEQUIPMENT 2 of EQUIPMENT /=201348401/8754-=201348401/8756,
"1858748199830560768_v1","7d583e89-b82c-4074-94e8-b8cbd1b3dedb",未知类型,CYLINDER 3 of SUBEQUIPMENT 2 of EQUIPMENT /=201348401/8754-=201348401/8756,
"1858748199830560768_v1","20216522-b78d-41f3-91a0-a9e3c8ee8505",未知类型,BOX 4 of SUBEQUIPMENT 2 of EQUIPMENT /=201348401/8754-=201348401/8756,
