"REPOSITORY_VERSION","ID","TARGET_ITEM_ID","SOURCE_DOCUMENT_ID","TARGET_DOCUMENT_ID"
"1858748199830560768_v1",d458a8b6-2c6c-4037-95ee-9cc50fc4dfe0,"46d1cc72-8aec-446c-ac66-a5176d72a113","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1","9363e999-352b-4ed1-8683-cbe58845afdf","68b0ef62-f67e-4480-a19b-3c086251b8d6","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1","956fa8b4-e40f-40e5-85b8-cd41f772daef","8d24f0ed-8386-4c2d-b06f-26f6d38b3b5f","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1","2a8aca33-81da-4dae-bd7e-c1785119d265","44451afc-924a-42c3-9e9b-768914f1fd66","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1","07cb02d8-7418-465b-9493-ce6f70565343","5df80e5b-f594-441f-9bd5-08347f945ff2","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1",b0740769-08c0-450d-b2fc-0091e57b8b75,"326cdb59-3214-4ff0-99e2-e709cc741f0a","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1","06b830e5-bf43-4889-84ab-10d263a52594",f5961b5e-63e7-44d5-91f6-544f567d4059,"93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1","18d08f16-064a-4472-9c21-07fd909389da","6183d72b-c6c2-4db6-8ff1-19f9ce4c1c95","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1",ba7f48ac-e8ef-446c-b2ac-0cb712cc5f27,d8fc14a1-ec3f-488f-93b9-1ac074b0ad24,"93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1","432ba255-c34b-47fe-bf5e-259edc1b5dcd",a01f3298-a643-4ef6-8fe9-b736ed3c67dc,"93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1",bbccb6a7-5107-49fc-aef5-365c58bac889,bd94073b-1296-488e-bff1-d2b6eb21bb71,"93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1","8b18629e-872b-4ad9-8a58-6cee178caeee","1138db6a-c5bd-4b19-8966-e929e29cd7d7","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1","75585887-ddbc-4082-aebd-36418317933d","7e939930-2f69-48c2-a896-dd093f3151d2","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1",e60a2e98-a0bb-47b6-a682-4612b42aa688,"796a1e2a-e8e4-4c3c-8c10-65d64e8abf85","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1",d736ba91-35ad-470b-bc1b-64c4be62d909,"00205e52-84e9-48e9-a6c1-41198af10974","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1","1d7ce388-0979-40d0-8891-392f9a636f21",bec35cb5-1400-44d2-9418-9cf7a68f3748,"93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1","6f18d110-4e19-4e4f-ad5a-65315600bd21",c8a8e836-517d-4be4-a393-8caba36d7152,"93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1",e71fa8fe-fdc8-4909-81fe-cc14536583d1,"12fadead-2b02-413d-ad26-a48dd1cf2e82","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1","2109b256-3646-450c-9f11-8bfa96ef67a6",d25b068d-2c34-4fba-b548-3fc2c0566f39,"93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1","71e89016-f788-40a4-8813-96d7b074f5de","2f784e29-ebec-4ad6-be41-ecfe14b58956","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1","331da5c9-9919-4607-a7e4-cc1c9bdd550f",be25000d-945a-4ae8-9094-0a064afcb52f,"93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1",fef58712-4f12-4102-a69d-d5d2f5b051e8,f00e8f37-d289-4318-a541-947bf0357034,"93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1",d4660eca-9a94-47c6-b14a-dab995612385,"64679c98-8707-40df-a2fe-985c9bb30ecc","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1","6628b73f-d5cd-4732-9ca0-d8345bb5545a","0b9c1161-02c2-47af-b3d4-6f6956f6615d","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1","14d19a10-a740-4e44-a4d0-105a66c7cf2a",f7500dc2-bcfa-45ef-9188-ebb16f46b1b4,"93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1",ae42a8c5-e156-4175-a14d-bcaeedce5c58,"80f04ffb-0add-4272-a73c-374bcd6a87f6","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1","237860d8-dc84-406a-9f2c-d06235a347d2",be8df65f-2bcd-4202-8bdc-03fb4eb05852,"93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1",d16aa90d-d499-4ae4-a294-edccdffb37f8,"6050eafc-1601-43e7-9b0e-d05e269ea30a","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1","805136af-4544-424f-b818-c32e762831a0","420c56ca-9cc0-4d4e-98f6-663761efa1f2","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1","90917597-b1f3-45ff-a13b-6d918cfd6d56","42c08f24-5756-46f2-9da3-ee7c5b36d1c0","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1","86904705-3340-4d9d-8132-f1c0677bced2","4071e6dd-b406-47a1-8342-0115d456459a","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1",f35fef2e-99b0-4e3d-a301-1f68de6eb75e,"5b5454ed-3d43-4957-88e8-557a771a37a6","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1","586d09b8-683b-436c-ba54-e72750063663",cbb43c44-2cdd-472d-b878-c693a2d2ad18,"93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1","182395ec-4a9b-46cb-abda-a0d3fca23a9f","547245eb-916a-4b8c-af40-b7bdb9b3d2f5","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1","7e9032e4-499d-4cff-baeb-aaf1fcef9f40",d26d37a1-7f2b-40d3-a2d2-4648b74a589c,"93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1",de9a70ab-6b89-44d1-b892-b95ff68c3e40,"481e676c-d393-417e-896b-4096380749dc","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1","076815b9-e41b-4d6d-b0b5-c1f640b153bc",ff4d4a40-de14-4d2a-9c95-ff3420b378cb,"93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1",c595a2d5-9662-4a75-8eb8-c4769c6cbf9c,"2f14fa43-b7c7-457f-9795-bbfb1fd6510d","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1","6956a935-c56d-4447-a3be-e2399f940bb8","1431322e-fb4f-40e1-ae7a-63eaf64fce87","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1",d72f03b6-ca7a-47a2-a00f-d13910917584,"3df2795d-ff9a-4f23-bb63-7cda7406932d","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1","0d3b33d0-c290-41a8-b967-f66e2f91c2dd","5eaa02e8-60f0-42e3-b98b-f1a8486a7402","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1",df7f1587-5d5b-4740-8f69-c590d7b95ab9,"0b719632-9ef5-4850-a361-ff1089c4a92f","93e28433-b40b-4c0c-927b-b551ff95bfa2",
