"REPOSITORY_VERSION","ID","COMPOSITION_ITEM_ID","ITEM_ID"
"1858748199830560768_v1",cb8bb8a4-74d1-4fea-8066-85d01c88b28f,"4f648e83-94c9-496a-bf91-5b9e186898a4","44b086f8-31c4-4012-bc2a-b3f792e4a607"
"1858748199830560768_v1","76707a3e-b243-4956-8e57-1e2da0d5d011","4f648e83-94c9-496a-bf91-5b9e186898a4",bb31b330-6e5c-42f6-b08e-f25d4591b70d
"1858748199830560768_v1",bd31b00d-0d3e-48ac-9a9b-acfc016f5490,dbce45bb-d053-4a72-b25c-5369e6650577,"97823814-9d2a-4d67-b55c-e96af9c86833"
"1858748199830560768_v1",a9abbc34-e9c8-4506-805d-a66ddbaccb8f,"97823814-9d2a-4d67-b55c-e96af9c86833","288effa9-ac40-47a7-90fa-c34fd1e5b06c"
"1858748199830560768_v1","1fdf4c08-54c1-4f64-abfb-a12777757c4f","97823814-9d2a-4d67-b55c-e96af9c86833",b83766f0-f7d2-4999-a645-1396e0a30644
"1858748199830560768_v1",a682ba4e-e8f8-40b9-b160-3e8ef023d135,"97823814-9d2a-4d67-b55c-e96af9c86833","2d34a021-3ba3-4428-838e-1c7e87d1b891"
"1858748199830560768_v1",f61e4783-ac1e-4ca6-8277-b9f61e78da85,"97823814-9d2a-4d67-b55c-e96af9c86833","64d0789d-369f-4d20-9f53-0fdba93850dc"
"1858748199830560768_v1","9a399e53-eee5-4f5d-aa9e-92b3374421d0","97823814-9d2a-4d67-b55c-e96af9c86833","8b33a371-a400-446b-98b3-6a9a3054ce9f"
"1858748199830560768_v1",c1a6376c-a70a-47b7-9b6d-c99a026cc358,"97823814-9d2a-4d67-b55c-e96af9c86833","9136737e-5647-4f99-8e37-4c11ff18e41e"
"1858748199830560768_v1","9ed1b6b9-a4a0-4264-a267-a4e62b7cbd07","97823814-9d2a-4d67-b55c-e96af9c86833","47f9ee52-3e7e-4ecc-aed5-d730d380b597"
"1858748199830560768_v1","42591929-0384-4d4a-b134-6ff1d4208a13","97823814-9d2a-4d67-b55c-e96af9c86833","488e12aa-f870-4cb2-b9a3-e9ed3eb7395b"
"1858748199830560768_v1",d0c121b4-ef96-472a-b378-0e58bd6a919e,"97823814-9d2a-4d67-b55c-e96af9c86833","77248ebf-ff96-4748-b3f9-f4050ce43ea4"
"1858748199830560768_v1","59192a25-fbdb-4180-b87a-da6b4b341d9e","97823814-9d2a-4d67-b55c-e96af9c86833",a045dd66-b520-4dde-ba5e-cd0bec89de72
"1858748199830560768_v1",c3ef2af4-cc97-4a8c-a30d-9e709cbaae17,"6c541be4-e500-4e68-8f09-0b22ae524082","6d31c13e-7240-43e6-8ce5-377406d8f95b"
"1858748199830560768_v1","8e4856be-64c1-4c9c-8c1c-e40ee58d98ff","6c541be4-e500-4e68-8f09-0b22ae524082","49a26aea-6026-47fe-bb2c-c7f71c402ff8"
"1858748199830560768_v1",db9cd7d1-8f80-4e3a-a48f-b7645dda6c5f,"1dfe2f1b-fa3b-42d3-8cc1-52dc1533894a","44960935-ca25-41f8-b4bb-a96e8fee9e6d"
"1858748199830560768_v1",ecd08dc6-a987-45b1-9e34-94a400202987,"44960935-ca25-41f8-b4bb-a96e8fee9e6d","420e49ea-33f4-4a35-823c-ec7bc89831c0"
"1858748199830560768_v1","3b663c48-d823-42e9-a1f6-b250e0cf61fe","44960935-ca25-41f8-b4bb-a96e8fee9e6d",fe333735-2f05-40df-9865-989c4c7fb4cb
"1858748199830560768_v1","8ceb3296-a7fd-4acb-a1d8-855b1ac2719d","44960935-ca25-41f8-b4bb-a96e8fee9e6d","7f3ee15e-5916-4b89-adb3-a972ecfdf2c2"
"1858748199830560768_v1",bee189a2-43cd-4c60-b7e3-e8183c659c64,"44960935-ca25-41f8-b4bb-a96e8fee9e6d",ca966d71-7adf-4735-a9d5-d01964413546
"1858748199830560768_v1","5e1b3133-90ea-431b-a5ea-27ed7614d73d","44960935-ca25-41f8-b4bb-a96e8fee9e6d","00b455ff-8856-45b3-8a40-2173582b4ff0"
"1858748199830560768_v1",d3cb222d-b294-44bf-a94b-5ea9995cff14,"44960935-ca25-41f8-b4bb-a96e8fee9e6d","464a9d64-6362-44d9-b191-9cf259e04c5a"
